;Rm;S;H;W;R;C
1997-12-31;0.1056;0.0497;0.0143;0.0446;0.0441;-0.0545
1998-01-31;-0.0271;-0.0501;-0.0814;0.0539;-0.0505;-0.022
1998-02-28;-0.0956;0.0787;-0.1319;-0.0766;-0.0807;-0.025
1998-03-31;0.0333;-0.0111;0.0279;0.0031;-0.0958;0.165
1998-04-30;0.1278;-0.0508;0.2201;-0.0903;-0.0114;-0.0453
1998-05-29;-0.1375;0.0029;0.1385;0.1249;0.0317;0.1866
1998-06-30;0.0359;-0.0623;-0.0677;0.084;-0.0606;-0.0049
1998-07-31;0.0481;-0.0514;0.1105;0.0403;0.0591;0.0793
1998-08-31;-0.3911;0.1298;-0.0095;0.0059;-0.0732;0.021
1998-09-30;-0.0656;0.0595;-0.0887;-0.0467;-0.0253;-0.1337
1998-10-30;0.0032;0.0606;-0.2032;0.0903;0.0011;-0.0382
1998-11-30;0.0505;0.0502;-0.0331;-0.1493;0.1521;-0.0824
1998-12-31;0.0102;0.0948;-0.0379;0.0042;0.0314;-0.1886
1999-01-29;-0.0315;-0.0422;-0.0565;0.0458;0.0848;-0.1535
1999-02-26;0.1338;-0.1001;0.2845;-0.288;0.1383;0.0061
1999-03-31;0.193;-0.0061;0.1456;-0.0097;0.0324;0.0257
1999-04-30;0.0598;-0.0337;0.0463;0.0558;0.022;0.0525
1999-05-31;-0.0195;-0.0749;0.0206;-0.1484;-0.0756;-0.0164
1999-06-30;-0.0383;-0.0025;-0.1042;0.0208;-0.0174;-0.0404
1999-07-30;0.1157;-0.0218;0.009;0.0633;-0.0173;-0.0351
1999-08-31;-0.0805;0.0082;-0.0278;0.0505;0.0233;0.0212
1999-09-30;0.0022;-0.104;0.1358;-0.142;0.0305;0.0204
1999-10-29;-0.0044;0.0229;0.1337;-0.0203;0.0289;-0.0165
1999-11-30;0.0813;-0.0175;0.1125;0.0119;-0.0287;-0.0743
1999-12-29;0.4675;-0.241;0.2877;0.223;-0.0619;-0.1023
2000-01-31;0.0433;0.0957;0.1851;0.0978;-0.01;0.0202
2000-02-29;-0.026;0.05;-0.1361;-0.0969;-0.0253;0.0525
2000-03-31;-0.0458;0.0931;0.0237;0.0366;-0.0502;0.0393
2000-04-28;0.0741;-0.1504;0.1072;-0.115;0.1315;0.1054
2000-05-31;-0.0972;0.1373;-0.0941;-0.0523;0.0101;-0.0851
2000-06-30;-0.0853;0.0673;-0.001;-0.0288;0.035;-0.0412
2000-07-31;-0.0259;0.0079;0.0659;-0.0582;0.005;0.1302
2000-08-31;-0.046;0.047;-0.0059;0.0585;0.0482;0.0828
2000-09-29;-0.1347;0.0942;-0.0122;-0.0723;0.0189;-0.0209
2000-10-31;0.0629;-0.118;0.0695;0.0461;-0.0228;0.1159
2000-11-30;-0.1194;0.0741;-0.1229;-0.1426;0.3622;-0.2898
2000-12-29;0.1152;-0.0688;-0.0404;-0.1066;0.0082;-0.0434
2001-01-31;0.0499;-0.0675;0.0926;-0.0905;-0.0188;0.0453
2001-02-28;-0.2554;0.0488;-0.2082;0.3672;0.0662;-0.0411
2001-03-30;-0.1113;0.0949;0.0368;-0.031;0.1557;0.1125
2001-04-30;0.1977;-0.1031;0.2548;-0.3048;-0.0904;-0.0899
2001-05-31;-0.0291;0.0533;-0.0338;0.0987;0.0711;-0.0647
2001-06-29;-0.0577;0.0266;0.0464;0.0045;0.0495;0.0245
2001-07-31;-0.1265;0.038;0.0195;0.0766;0.0664;0.0394
2001-08-31;-0.032;-0.0118;0.0545;0.0523;0.045;0.0149
2001-09-28;-0.176;-0.0522;0.0006;0.2564;0.0307;-0.0605
2001-10-31;0.2021;0.0527;0.0631;-0.1962;-0.0244;0.0208
2001-11-30;0.1326;0.0854;0.0091;-0.2401;0.0171;0.0573
2001-12-31;0.115;0.0054;-0.0448;-0.1604;-0.0539;0.0116
2002-01-31;0.0913;0.0091;0.0028;-0.0273;0.0316;-0.0334
2002-02-28;-0.089;-0.0052;-0.0298;0.1658;0.0869;-0.1134
2002-03-28;0.104;-0.0533;0.0165;0.073;-0.0185;0.0092
2002-04-30;0.0739;-0.057;-0.0028;0.0725;0.0293;-0.0028
2002-05-31;-0.014;-0.0369;0.0233;0.0788;0.0626;-0.072
2002-06-28;-0.0966;0.0046;0.0054;0.0695;0.0021;0.0282
2002-07-31;-0.0475;0.0351;0.0123;-0.0208;0.0122;0.1199
2002-08-30;0.0259;-0.0188;0.0463;0.0068;-0.0078;-0.0231
2002-09-30;-0.0348;-0.0217;-0.0216;0.0647;0.0681;-0.0692
2002-10-31;0.0806;0.0182;-0.0088;-0.0265;-0.0519;0.1015
2002-11-29;0.1066;0.0925;0.1002;-0.1372;-0.1108;0.1651
2002-12-31;-0.0775;-0.0618;0.0026;0.1694;0.1001;-0.1643
2003-01-31;-0.0132;0.0431;0.0589;-0.0427;0.0599;0.124
2003-02-28;0.0597;0.022;0.0062;-0.0249;0.0317;-0.0072
2003-03-31;-0.0882;-0.0393;0.0273;0.0843;0.0499;-0.081
2003-04-30;0.1768;0.1244;0.0362;-0.0582;-0.0263;0.0989
2003-05-30;0.0878;0.0106;0.0446;-0.0032;-0.006;-0.0379
2003-06-30;0.0072;-0.0432;-0.0286;0.0198;-0.0021;0.0174
2003-07-31;-0.0343;0.0113;0.0549;-0.0176;-0.0095;0.0225
2003-08-29;0.1153;-0.0317;-0.033;0.0641;0.0261;0.0001
2003-09-30;0.0541;-0.0096;0.0381;-0.0299;-0.0194;-0.0495
2003-10-31;-0.0167;0.07;0.0304;0.0423;-0.0256;-0.0038
2003-11-28;0;-0.0109;-0.0035;0.0123;0.0121;-0.0157
2003-12-31;0.1328;0.0893;0.0555;-0.0609;-0.0654;0.0351
2004-01-30;0.0215;0.0089;0.0468;-0.0007;0.009;-0.0525
2004-02-27;0.0886;-0.0017;-0.0455;0.0412;-0.0047;0.0051
2004-03-31;0.0998;0.0236;-0.0121;-0.0499;-0.003;-0.0222
2004-04-30;-0.118;0.0736;0.0159;-0.0044;0.0441;-0.0392
2004-05-31;-0.0538;0.0323;-0.0037;-0.0038;0.0483;-0.0081
2004-06-30;0.0244;-0.0216;0.0296;-0.0001;0.0554;0.0219
2004-07-30;-0.0251;0.0507;0.1061;0.1167;-0.0511;-0.0119
2004-08-31;0.0373;-0.013;0.0136;-0.0026;0.0389;0.0056
2004-09-30;0.1144;0.0057;-0.0558;-0.0229;-0.0116;0.004
2004-10-29;0.0475;-0.0046;0.0203;-0.0369;-0.0057;-0.0761
2004-11-30;-0.0198;0.0181;0.0434;0.124;0.0153;0.026
2004-12-31;0.0336;-0.0113;0.0174;0.0067;-0.0999;-0.0287
2005-01-31;0.0403;0.058;0.0146;-0.0162;-0.0493;-0.0185
2005-02-28;0.1289;-0.0723;0.0292;0.014;-0.0138;0.0416
2005-03-31;-0.0788;-0.0209;0.0118;-0.0119;0.0257;0.0169
2005-04-29;-0.0583;-0.0338;-0.0026;0.012;0.0531;0.0386
2005-05-31;0.0432;-0.0225;0.0739;-0.0319;-0.0009;-0.0546
2005-06-30;0.1061;-0.0069;0.0184;-0.2036;0.0538;-0.0034
2005-07-29;0.0913;0.042;-0.0807;0.1131;-0.0766;-0.0723
2005-08-31;0.087;-0.0397;-0.0256;0.0923;0.0679;-0.0359
2005-09-30;0.0772;-0.0694;0.0424;0.0214;0.0185;-0.0235
2005-10-31;-0.0598;0.0517;0.0228;0.0161;0.0047;0.0088
2005-11-30;0.0736;-0.0139;0.0306;-0.0026;-0.0497;-0.0047
2005-12-30;0.0414;0.0716;0.0368;0.0135;-0.0184;-0.0244
2006-01-31;0.1488;0.0341;-0.1132;0.0698;0.0083;-0.017
2006-02-28;0.0352;0.0585;-0.0226;0.017;-0.0369;0.0272
2006-03-31;-0.008;0.0726;-0.0663;0.0041;0.0786;-0.0633
2006-04-28;0.13;0.0772;-0.0671;0.1015;0.0085;0.0271
2006-05-31;-0.1319;-0.0123;-0.0116;-0.0825;0.0526;-0.0423
2006-06-30;-0.0247;-0.0375;0.0292;0.0316;0.0617;0.0422
